Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
mantis_neg.txt,1,112,80.2,50.7,11.87,1,16,20.54,76.79,65.18,53.57,9.82,3.57,0,0,0,0,2.68,6.25,21.43,11.61,2.68,12.5,7.14,5.36,7.14,0,11.61,10.71,3.57,6.25,0,0.89,5.36,8.93,0,8.93,0,2.68,0.89,0.89,0.89,3.57,0,8.04,0,8.04,1.79,0,1.79,0.89,0.89,0,0,8.93,2.68,0,0,1.79,0.89,0,5.36,0,0,0,0,0.89,0.89,0,0,0.89,0,0,0.89,0,0,2.68,0,0,0,0,0,0,1.79,0.89,0.89,0,0,0,0,0,0,0,0,2.68,6.25,0,2.68,3.57,0,0,0,2.68,0,6.25,0.89,0,0,0,0,0,16.07,5.36,2.68,0,0,0.89,7.14
mantis_pos.txt,1,109,81.8,45.49,13.04,48.14,18.17,30.28,81.65,59.63,43.12,7.34,2.75,0,0,0,0,2.75,4.59,16.51,4.59,1.83,11.93,5.5,3.67,4.59,0,11.93,13.76,5.5,6.42,1.83,2.75,2.75,9.17,0.92,8.26,3.67,0.92,0.92,0,0,2.75,0,3.67,2.75,0.92,1.83,1.83,0,0,0,0,0,7.34,3.67,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.92,6.42,0,0,0,0,0,0.92,3.67,0,0,0,0,0,0,0,1.83,0,0.92,3.67,17.43,0,0.92,3.67,11.01,0,0,1.83,0.92,6.42,0,0,0,0,0,0,13.76,5.5,6.42,0,0,0.92,0.92
realty_neg.txt,1,74,15.89,91.56,9.25,2.35,12.33,22.97,93.24,72.97,63.51,12.16,9.46,0,0,9.46,0,0,2.7,14.86,8.11,0,10.81,12.16,10.81,8.11,5.41,14.86,5.41,2.7,2.7,0,2.7,0,12.16,0,12.16,0,1.35,1.35,4.05,0,5.41,1.35,2.7,0,2.7,2.7,0,2.7,2.7,0,0,0,13.51,1.35,0,0,0,0,1.35,12.16,0,0,0,0,0,0,0,0,16.22,0,5.41,1.35,13.51,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,1.35,0,6.76,2.7,0,0,2.7,0,0,0,4.05,0,9.46,1.35,0,0,0,0,0,17.57,8.11,6.76,0,0,2.7,0
realty_pos.txt,1,77,67.99,98.87,8.03,79.89,15.4,22.08,90.91,70.13,50.65,15.58,7.79,0,0,7.79,0,0,7.79,19.48,11.69,0,10.39,7.79,2.6,6.49,0,12.99,10.39,3.9,6.49,1.3,3.9,2.6,9.09,0,9.09,2.6,1.3,2.6,0,0,1.3,0,3.9,3.9,0,1.3,1.3,0,0,0,0,0,15.58,5.19,0,0,0,0,1.3,10.39,0,0,0,0,0,0,0,0,12.99,0,1.3,5.19,9.09,0,0,0,0,0,0,0,0,0,0,1.3,1.3,1.3,0,0,0,1.3,1.3,1.3,3.9,6.49,0,0,5.19,0,0,1.3,3.9,0,6.49,1.3,0,0,0,0,0,10.39,5.19,2.6,0,0,0,2.6
skunkowl_neg.txt,1,73,70.16,32.36,2.05,1,14.6,26.03,72.6,54.79,46.58,10.96,0,0,0,0,0,0,10.96,21.92,10.96,0,8.22,8.22,2.74,6.85,0,9.59,6.85,1.37,5.48,0,0,5.48,8.22,0,8.22,0,4.11,1.37,1.37,0,2.74,0,10.96,0,10.96,0,0,0,0,0,0,0,10.96,9.59,0,0,1.37,4.11,2.74,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,1.37,8.22,1.37,0,4.11,1.37,0,0,1.37,1.37,6.85,0,0,0,0,0,0,13.7,6.85,6.85,0,0,0,0
skunkowl_pos.txt,1,74,95.19,32.46,5.81,93.12,14.8,21.62,72.97,59.46,44.59,8.11,0,0,0,0,0,0,8.11,20.27,13.51,2.7,10.81,4.05,1.35,5.41,0,8.11,9.46,5.41,4.05,0,1.35,2.7,5.41,0,5.41,1.35,1.35,0,2.7,0,1.35,0,6.76,5.41,0,2.7,1.35,0,0,0,0,0,4.05,4.05,0,0,0,1.35,1.35,0,0,0,0,0,0,0,0,0,1.35,0,0,1.35,0,0,2.7,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,4.05,12.16,2.7,1.35,2.7,2.7,2.7,0,2.7,2.7,4.05,0,0,0,0,0,0,18.92,5.41,10.81,0,0,0,2.7
sun_neg.txt,1,80,87.71,26.5,1.63,1,13.33,28.75,75,60,50,5,1.25,0,0,0,0,1.25,3.75,15,11.25,0,13.75,7.5,5,7.5,1.25,8.75,8.75,2.5,5,0,1.25,3.75,8.75,0,8.75,0,3.75,0,1.25,0,3.75,0,6.25,0,6.25,0,0,0,0,0,0,0,6.25,3.75,0,0,2.5,1.25,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,3.75,8.75,1.25,0,1.25,7.5,0,0,1.25,0,8.75,0,0,0,0,0,0,13.75,6.25,5,0,0,0,2.5
sun_pos.txt,1,82,99,47.29,4.11,37.8,16.4,23.17,64.63,46.34,42.68,2.44,0,0,0,0,0,0,2.44,19.51,10.98,6.1,17.07,2.44,1.22,3.66,0,2.44,4.88,8.54,4.88,0,0,4.88,3.66,1.22,2.44,0,2.44,0,0,0,0,0,1.22,1.22,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,1.22,0,0,0,0,2.44,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,9.76,0,0,8.54,1.22,0,0,0,1.22,1.22,0,0,0,0,0,0,6.1,6.1,0,0,0,0,0
vegas_neg.txt,1,92,96.63,33.89,80.34,3.88,18.4,30.43,80.43,59.78,42.39,2.17,0,0,0,0,0,0,2.17,15.22,9.78,5.43,15.22,5.43,2.17,7.61,0,10.87,9.78,8.7,4.35,0,1.09,3.26,5.43,0,5.43,1.09,2.17,0,0,0,2.17,0,2.17,0,2.17,1.09,0,1.09,0,0,1.09,0,4.35,2.17,0,0,0,1.09,0,1.09,1.09,0,0,0,1.09,0,0,1.09,7.61,1.09,1.09,3.26,2.17,1.09,1.09,1.09,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,2.17,0,4.35,13.04,0,2.17,10.87,0,0,0,6.52,8.7,1.09,0,0,0,0,0,0,11.96,5.43,4.35,0,0,0,2.17
vegas_pos.txt,1,89,81.99,60.12,10.59,86.32,17.8,23.6,76.4,60.67,46.07,7.87,1.12,0,0,0,0,1.12,6.74,15.73,6.74,2.25,13.48,8.99,0,7.87,0,12.36,10.11,4.49,3.37,0,1.12,3.37,7.87,0,7.87,1.12,3.37,1.12,1.12,0,1.12,0,4.49,4.49,0,2.25,2.25,0,0,0,0,0,5.62,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,4.49,2.25,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,1.12,6.74,5.62,0,2.25,3.37,0,0,0,4.49,7.87,2.25,0,0,0,0,0,0,15.73,5.62,4.49,0,0,1.12,4.49
